sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU0056,Textiles,Cushions,2023-08-05,99.53,242.95
SKU0057,Decor,Vases,2023-09-16,113.17,269.33
SKU0058,Decor,Rugs,2024-08-17,91.19,143.66
SKU0059,furniture,Shelving,2022-12-28,138.54,221.48
SKU0060,FURNITURE,Chairs,09/10/2023,21.75,31.0
SKU0061,Lighting,Table Lamps,2023-02-03,90.72,201.11
SKU0062,Furniture,Shelving,2023-07-28,78.16,191.49
SKU0063,Lighting,String Lights,2025-02-15,39.33,66.83
SKU0064,Furniture,Sofas,2023-05-18,12.14,22.44
SKU0065,Textiles,Throws,08/11/2024,12.53,31.45
SKU0066,Textiles,Curtains,2023-11-23,135.88,349.96
SKU0067,Decor,Rugs,2023-04-25,117.95,184.17
SKU0068,Lighting,String Lights,06/01/2023,129.35,252.93
SKU0069,Lighting,Floor Lamps,2023-09-24,25.27,49.87
SKU0070,decor,Wall Art,2023-07-19,58.29,107.23
SKU0071,Lighting,Table Lamps,2023-10-20,48.05,121.98
SKU0072,Lighting,String Lights,2022-12-31,52.61,107.46
SKU0073,Textiles,Curtains,2023-10-13,82.24,177.6
SKU0074,textiles,Cushions,09/08/2023,34.35,76.73
SKU0075,Small Appliances,Fans,2025-09-19,18.79,42.67
SKU0076,Lighting,Floor Lamps,2023-11-29,24.92,63.56
SKU0077,Furniture,Shelving,2023-07-07,120.29,304.96
SKU0078,Lighting,Table Lamps,09/22/2023,18.78,40.18
SKU0079,Furniture,Chairs,2023-12-29,72.57,147.11
SKU0080,Small Appliances,Heaters,03/02/2023,76.36,161.85
SKU0081,Furniture,Shelving,07/03/2025,17.72,38.8
SKU0082,Furniture,Sofas,2023-07-18,102.33,184.23
SKU0083,Lighting,String Lights,04/23/2023,57.81,102.75
SKU0084,Decor,Vases,09/11/2024,140.74,270.99
SKU0085,Lighting,Floor Lamps,2023-10-23,140.74,328.82
SKU0086,Small Appliances,Heaters,2023-06-24,,334.81
SKU0087,Textiles,Curtains,2024-11-03,97.38,150.58
SKU0088,Textiles,Throws,2023-05-11,6.78,13.19
SKU0089,Lighting,String Lights,2022-12-10,69.14,121.85
SKU0090,Small Appliance,Heaters,2022-12-30,21.04,54.63
SKU0091,Furniture,Shelving,2023-02-24,20.43,53.1
SKU0092,Textiles,Cushions,2023-04-10,18.11,44.85
SKU0093,Textiles,Cushions,2023-07-04,117.63,192.66
SKU0094,Furniture,Chairs,2023-01-02,10.24,14.4
SKU0095,Furnitur,Chairs,2022-12-05,39.59,95.78
SKU0096,textiles,Cushions,12/10/2023,139.53,324.62
SKU0097,Textiles,Curtains,2023-07-07,34.26,53.1
SKU0098,furniture,Sofas,2023-06-14,96.35,233.3
SKU0099,Small Appliances,Kettles,12/11/2023,44.26,99.67
SKU0100,Furniture,Sofas,2022-12-05,12.9,27.6
SKU0101,Furniture,Chairs,2023-07-02,30.1,45.45
SKU0102,Lighting,String Lights,2023-10-20,71.49,167.35
SKU0103,Décor,Candles,2023-07-07,142.17,250.45
SKU0104,Furniture,Tables,2023-05-15,99.14,250.7
SKU0105,Furniture,Chairs,2023-03-31,73.75,113.8
SKU0106,Small Appliances,Fans,2023-11-09,49.18,94.11
SKU0107,Lighting,Floor Lamps,2022-12-09,64.27,106.76
SKU0108,Small Appliances,Fans,2023-05-11,10.23,19.46
SKU0109,Small Appliances,Blenders,2023-11-24,87.04,195.18
SKU0110,Small Appliances,Heaters,2023-04-17,50.85,119.24
SKU0111,Home Decor,Candles,2023-06-04,57.3,115.48
SKU0112,Lighting,String Lights,2023-03-13,138.55,277.7
SKU0113,Lighting,Floor Lamps,2023-09-25,,251.95
SKU0114,Decor,Wall Art,2024-08-22,127.09,186.4
SKU0115,Furniture,Tables,2023-06-20,50.51,115.73
SKU0116,Furniture,Shelving,2023-12-27,,238.6
SKU0117,Lighting,Table Lamps,2023-04-09,57.91,147.68
SKU0118,Furniture,Chairs,2022-11-29,50.09,111.46
SKU0119,furniture,Sofas,2022-12-27,6.56,10.83
SKU0120,Lighting,String Lights,06/05/2023,29.06,69.85
SKU0121,Textiles,Curtains,10/13/2023,148.6,233.29
SKU0122,Textiles,Throws,2023-07-06,16.61,38.31
SKU0123,Furniture,Tables,2022-12-30,31.23,77.72
SKU0124,Furniture,Shelving,2023-12-15,47.35,94.14
SKU0125,Textiles,Throws,12/27/2023,40.33,97.29
SKU0126,Furniture,Shelving,2023-04-21,102.18,236.6
SKU0127,Lighting,Table Lamps,03/10/2023,54.08,130.52
SKU0128,Small Appliances,Blenders,2023-06-22,128.54,257.82
SKU0129,Small Appliances,Fans,2023-11-14,54.39,108.7
SKU0130,Textiles,Curtains,03/05/2025,62.79,157.03
SKU0131,Lighting,Floor Lamps,2023-12-29,32.78,46.87
SKU0132,Decor,Candles,12/27/2022,49.59,105.04
SKU0133,Small Appliances,Kettles,10/25/2023,96.9,249.82
SKU0134,Lighting,String Lights,04/28/2023,115.41,286.68
SKU0135,Small Appliances,Heaters,04/27/2023,130.69,200.86
SKU0136,Lighting,Floor Lamps,2023-03-15,85.2,186.16
SKU0137,small appliances,Fans,2023-11-01,111.39,256.19
SKU0138,Decor,Candles,12/08/2024,10.94,25.52
SKU0139,Textiles,Throws,2023-01-23,146.8,278.02
SKU0140,Small Appliances,Kettles,2025-07-07,85.54,202.09
SKU0141,Decor,Rugs,2023-09-28,59.04,86.11
SKU0142,Furniture,Tables,2023-11-19,108.42,252.45
SKU0143,Furniture,Shelving,07/28/2023,12.1,20.35
SKU0144,Textiles,Cushions,2023-04-28,5.65,11.4
SKU0145,Decor,Candles,2025-06-21,134.87,297.51
SKU0146,Small Appliances,Blenders,2023-09-28,55.46,134.44
SKU0147,Textiles,Cushions,2023-07-06,44.85,110.5
SKU0148,Decor,Rugs,2024-09-25,54.58,123.41
SKU0149,Small Appliances,Fans,04/21/2023,64.15,100.34
SKU0150,Decor,Wall Art,2023-05-17,106.63,225.44
SKU0151,Furniture,Tables,2023-10-06,24.48,45.01
SKU0152,Small Appliances,Kettles,2023-12-06,7.56,14.7
SKU0153,Textiles,Throws,2023-07-06,144.09,331.75
SKU0154,Small Appliances,Heaters,2023-05-30,135.06,227.19
SKU0155,Small Appliances,Blenders,2023-09-01,112.64,237.55
SKU0156,Small Appliances,Heaters,2023-04-15,40.0,71.48
SKU0157,Furniture,Chairs,2024-01-01,86.42,203.12
SKU0158,Decor,Candles,2023-02-22,74.06,192.09
SKU0159,Small Appliances,Heaters,2023-04-08,119.2,193.37
SKU0160,textiles,Cushions,2025-03-20,99.67,253.8
SKU0161,Lighting,Floor Lamps,11/07/2023,144.17,219.66
SKU0162,Furniture,Tables,2023-12-16,14.5,28.22
SKU0163,Home Decor,Candles,2023-12-13,21.18,39.42
SKU0164,Furniture,Shelving,2023-12-08,35.02,61.72
SKU0165,Small Appliances,Blenders,2023-11-02,21.25,51.75
SKU0166,Furnitur,Chairs,2024-01-01,75.98,136.74
SKU0167,Small Appliances,Blenders,2023-06-29,42.75,76.39
SKU0168,Textiles,Throws,2023-09-27,104.07,174.2
SKU0169,Lighting ,Table Lamps,2023-06-22,71.81,161.85
SKU0170,Furniture,Chairs,2024-09-07,25.04,62.66
SKU0171,Furniture,Chairs,02/09/2023,21.04,45.11
SKU0172,furniture,Tables,2023-09-27,90.58,219.14
SKU0173,Small Appliance,Kettles,06/02/2023,28.6,66.57
SKU0174,Lighting,String Lights,01/24/2023,138.23,268.91
SKU0175,TEXTILES,Throws,2023-12-01,122.91,219.04
SKU0176,Decor,Candles,2023-02-16,36.37,68.99
SKU0177,LIGHTING,Table Lamps,08/08/2025,55.24,78.6
SKU0178,furniture,Sofas,2023-10-27,107.67,246.17
SKU0179,Textiles,Cushions,2023-11-03,23.27,36.59
SKU0180,Small Appliances,Heaters,03/30/2023,78.56,203.48
SKU0181,Decor,Wall Art,03/16/2025,89.77,139.35
SKU0182,Textiles,Throws,2023-01-08,82.75,177.59
SKU0183,Furniture,Tables,2025-01-25,,104.85
SKU0184,Small Appliances,Fans,2025-07-27,91.38,153.29
SKU0185,textiles,Curtains,04/29/2023,85.26,159.9
SKU0186,Lighting,String Lights,2023-04-05,87.21,201.46
SKU0187,Lighting,String Lights,12/28/2022,6.81,16.04
SKU0188,Small Appliances,Blenders,2023-06-07,18.64,46.0
SKU0189,Lighting,Floor Lamps,2023-06-28,144.42,233.11
SKU0190,Furniture,Sofas,10/14/2023,137.32,227.21
SKU0191,Decor,Vases,04/19/2023,59.96,121.14
SKU0192,Textiles,Cushions,2023-03-11,118.53,247.01
SKU0193,Small Appliances,Kettles,2023-03-28,120.72,183.47
SKU0194,Textile,Cushions,2023-10-12,,21.53
SKU0195,Textile,Throws,2022-12-25,62.22,110.94
SKU0196,Textiles,Throws,05/03/2023,64.33,136.52
SKU0197,Small Appliances,Fans,12/05/2023,59.69,111.8
SKU0198,Furniture,Shelving,2023-11-10,104.26,188.44
SKU0199,furniture,Shelving,10/14/2023,114.26,280.76
SKU0200,Furniture,Tables,2023-09-12,,64.72
SKU0041,Textile,Curtains,2023-11-16,50.81,118.21
SKU0052,small appliances,Heaters,11/06/2023,145.1,306.92
SKU0140,Small Appliances,Kettles,2025-07-07,85.54,202.09
SKU0198,Furniture,Shelving,11/10/2023,104.26,188.44
